,trial_number,ERP [0.  0.2],ERP [0.2 0.4],ERP [0.4 0.6],ERP [0.6 0.8],ERP [0.8 1. ],ERP [1.  1.2],ERP [1.2 1.4],subject,round,stim_type,stage_of_learning,part_of_exp,real_stim
0,0,2.8115364048358722e-12,4.311708656412355e-12,3.408585681746023e-12,2.731317944953532e-12,3.5828323731380804e-12,3.719184976538061e-12,2.0667149769933585e-12,L901,learning1,NW,Early,First,Type_B
1,1,4.7386181538197924e-12,2.7730426944331444e-12,2.623057658857933e-12,2.831074176145695e-12,3.695695417532772e-12,5.5524917441575e-12,3.941868511128053e-12,L901,learning1,NW,Early,First,Type_B
2,2,2.6674569006713785e-12,3.0441658451064504e-12,4.77470001759144e-12,4.3182843092841654e-12,3.3181665925669633e-12,2.864090486236687e-12,1.8411463526619444e-12,L901,learning1,NW,Early,First,Type_B
3,3,2.193900625674037e-12,3.4746486784550926e-12,4.179419291860098e-12,3.962457361445353e-12,7.732924958595199e-12,9.297264843392692e-12,5.162756297855354e-12,L901,learning1,NW,Early,First,Type_B
4,4,2.597016825892601e-12,1.5443141661960763e-12,3.281542506236195e-12,3.5105889215543603e-12,6.275710478343083e-12,5.497090869690706e-12,4.112016953910849e-12,L901,learning1,NW,Early,First,Type_B
5,5,1.4848854794675106e-12,1.892652575292779e-12,2.2098802887983945e-12,1.883009183925271e-12,2.9506788294197515e-12,4.276541530816272e-12,6.169587731783674e-12,L901,learning1,NW,Early,First,Type_B
6,6,2.0048350164637955e-12,2.394037024822443e-12,1.6980126970281494e-12,2.0279400121638064e-12,4.373929954363867e-12,3.104042561671948e-12,2.0351376219079807e-12,L901,learning1,NW,Early,First,Type_B
7,7,1.8178217595972124e-12,2.8811076148018912e-12,5.069946696167111e-12,3.6009328268906094e-12,2.880428935502464e-12,3.743740074025818e-12,3.259862380346246e-12,L901,learning1,NW,Early,First,Type_B
8,8,2.229253832259895e-12,2.0361485252835767e-12,2.584351694604275e-12,4.780702363521778e-12,2.72735384848461e-12,4.674572519027056e-12,8.099977886176406e-12,L901,learning1,NW,Early,First,Type_B
9,9,2.051619206795958e-12,2.6779680303306195e-12,1.4244738965523354e-12,2.4347234006375473e-12,3.0083225576326703e-12,1.9418171138597495e-12,2.309325159812606e-12,L901,learning1,NW,Early,First,Type_B
10,10,2.2276888207724135e-12,2.359698743468631e-12,1.8675154591267796e-12,2.810711547997348e-12,2.7769819035483278e-12,1.1607498786441844e-12,1.5983109389037041e-12,L901,learning1,NW,Early,First,Type_B
11,11,2.475463633151329e-12,2.759754396599755e-12,4.87798477779674e-12,6.318824182506502e-12,4.767688085532048e-12,3.9483297918785964e-12,3.8152147955684984e-12,L901,learning1,NW,Early,First,Type_B
12,12,2.967397515971742e-12,2.837307662792405e-12,3.864863605599806e-12,3.965606272254896e-12,6.419918889696266e-12,6.585608545195431e-12,5.618388572424903e-12,L901,learning1,NW,Early,First,Type_B
13,13,2.619802320885301e-12,2.5909252440682755e-12,2.776300447099333e-12,2.5129002950705614e-12,5.6136076575001215e-12,4.477784274452054e-12,2.974424301749719e-12,L901,learning1,NW,Early,First,Type_B
14,14,5.017847418363316e-12,6.058445043160612e-12,4.750338725137602e-12,4.336575500180936e-12,4.879944353758674e-12,3.2158937816263622e-12,3.1041416327225056e-12,L901,learning1,NW,Early,First,Type_B
15,15,2.91027888184871e-12,1.8176936881894411e-12,3.310795932174979e-12,5.348384028057903e-12,3.271316050688998e-12,4.039994102745243e-12,4.107552703814308e-12,L901,learning1,NW,Early,First,Type_B
16,16,2.9656909719061327e-12,2.6761440385009966e-12,3.741478357836422e-12,3.937889778414148e-12,3.697689917197173e-12,3.3591532374061596e-12,3.702224595015914e-12,L901,learning1,NW,Early,First,Type_B
17,17,1.9937650974860982e-12,2.1917860816941227e-12,2.0763668883060744e-12,3.2469399886373805e-12,3.4681463138005495e-12,2.1284960393658196e-12,2.6509099194157833e-12,L901,learning1,NW,Early,First,Type_B
18,18,1.1998157152927845e-12,2.643672846353004e-12,3.0089592459189454e-12,2.39132101480036e-12,2.6669447890967077e-12,4.168007362494e-12,4.466963286384463e-12,L901,learning1,NW,Early,First,Type_B
19,19,2.0427300512995122e-12,2.3499142125067172e-12,3.2597212419148e-12,4.8670866102462015e-12,5.292997127723936e-12,4.241234110322726e-12,4.24564786700223e-12,L901,learning1,NW,Early,First,Type_B
20,20,1.3597803422796425e-12,2.8052259782760656e-12,2.0838318456990355e-12,4.725914626616735e-12,5.890632097879711e-12,4.041956421743237e-12,3.089956394272703e-12,L901,learning1,NW,Early,First,Type_B
21,21,4.0679700654684355e-12,5.4597880013323345e-12,2.928297631426813e-12,3.4156041015741405e-12,3.149463126599017e-12,2.578366425972914e-12,2.0824318769074994e-12,L901,learning1,NW,Early,First,Type_B
22,22,1.4996829933377143e-12,1.832625405757896e-12,1.4479693086406806e-12,1.8569318580361656e-12,3.0593056360706498e-12,2.0008862113742433e-12,3.1395688598515202e-12,L901,learning1,NW,Early,First,Type_B
23,23,1.9023715040430744e-12,1.8228530800659584e-12,2.450810790000279e-12,2.6951182608828713e-12,2.6804201231465165e-12,2.734958126698738e-12,3.080514733902273e-12,L901,learning1,NW,Early,First,Type_B
24,24,3.548307107513417e-12,2.721421076663498e-12,1.7798946834565177e-12,4.510769203218124e-12,4.597726299452907e-12,4.197079491426209e-12,4.344177357111396e-12,L901,learning1,NW,Early,First,Type_B
25,25,2.8555613644959448e-12,4.717547836323466e-12,4.472261585358966e-12,4.679608955746497e-12,4.0125436678961865e-12,6.070767738029358e-12,7.621674310027166e-12,L901,learning1,NW,Early,First,Type_B
26,26,5.104433789165453e-12,4.1500071101895896e-12,6.400880681230149e-12,4.347148172156847e-12,3.808010664911227e-12,3.969432204369912e-12,7.58642646722243e-12,L901,learning1,NW,Early,First,Type_B
27,27,3.5446810747327617e-12,3.630546496887114e-12,3.5177828646780457e-12,3.850227086160204e-12,3.1023642213356437e-12,2.1380073820008e-12,2.2632140824634798e-12,L901,learning1,NW,Early,First,Type_B
0,0,4.2344012718475e-12,3.674584475501828e-12,3.9838970026193275e-12,3.0781273330876102e-12,5.446731205508367e-12,4.7388475966139e-12,2.659212345081184e-12,L901,learning1,AW,Early,First,Type_A
1,1,2.662336003948885e-12,3.012589250209555e-12,3.3450947721126075e-12,3.4907050268526634e-12,5.0615260375455635e-12,5.152518516623939e-12,5.488668905452215e-12,L901,learning1,AW,Early,First,Type_A
2,2,2.8828211691931225e-12,1.494024505352286e-12,1.880249836181829e-12,1.895120734795017e-12,3.4327428389758693e-12,4.963605223106532e-12,4.5206200566518305e-12,L901,learning1,AW,Early,First,Type_A
3,3,2.635238169018477e-12,2.4567845647058085e-12,2.048566850390546e-12,2.629590821418901e-12,1.9051432839306946e-12,2.234416276907609e-12,4.2341239623763656e-12,L901,learning1,AW,Early,First,Type_A
4,4,4.064608867857418e-12,4.881963935378867e-12,2.38933327154855e-12,4.273114044459313e-12,4.410922585188779e-12,3.2764255112460284e-12,1.9117437193928898e-12,L901,learning1,AW,Early,First,Type_A
5,5,4.205381067548996e-12,2.4641768111944564e-12,1.9545175729792998e-12,1.941649804166223e-12,2.0671750515148133e-12,3.797999558628034e-12,5.036997216761632e-12,L901,learning1,AW,Early,First,Type_A
6,6,2.2430727936007907e-12,2.2420814876594763e-12,2.544469504780914e-12,1.8140016101092332e-12,2.462976151825589e-12,2.173205854808297e-12,1.6527450935761667e-12,L901,learning1,AW,Early,First,Type_A
7,7,1.701017869801977e-12,1.7149484573206736e-12,1.8715450740741684e-12,2.4823965243126493e-12,2.017465453928171e-11,3.771176134683652e-12,1.4801712806766369e-12,L901,learning1,AW,Early,First,Type_A
8,8,2.126698527758106e-12,2.524052781236257e-12,2.141237046458424e-12,1.853610987629543e-12,2.7743655487706035e-12,4.47362263674492e-12,3.756703721369175e-12,L901,learning1,AW,Early,First,Type_A
9,9,4.5341915834250734e-12,4.265434160635385e-12,5.016944860260253e-12,6.272243987843078e-12,5.681321811507818e-12,7.527720911921506e-12,7.395552006813186e-12,L901,learning1,AW,Early,First,Type_A
10,10,5.239867319648595e-12,1.7406595349810548e-12,2.214628833881869e-12,5.8770166615962224e-12,6.473688958672397e-12,3.293209099907443e-12,2.9698667217507355e-12,L901,learning1,AW,Early,First,Type_A
11,11,2.0217487012471343e-12,5.319946363831578e-12,3.854041098705862e-12,5.546546555407609e-12,7.650781442518461e-12,5.663933533804704e-12,5.0428444299697165e-12,L901,learning1,AW,Early,First,Type_A
12,12,2.3595830068071007e-12,2.044498275104951e-12,2.6039820926131188e-12,4.264499413337537e-12,5.040792687841102e-12,1.2095131914930439e-11,1.026495421491395e-11,L901,learning1,AW,Early,First,Type_A
13,13,2.217023905777519e-12,3.4705063792297144e-12,1.907997108933982e-12,1.641100418220616e-12,3.9993024963216655e-12,6.468815639561695e-12,6.755672346165692e-12,L901,learning1,AW,Early,First,Type_A
14,14,3.69891935944965e-12,3.2507378678202976e-12,3.5849227581166977e-12,3.2467085726870334e-12,2.874878361331238e-12,4.975430974118518e-12,7.087674799286919e-12,L901,learning1,AW,Early,First,Type_A
15,15,2.626263157384954e-12,2.2152975066818877e-12,3.4812181986487695e-12,2.1131263584976727e-12,1.865362335726664e-12,4.085266708090142e-12,2.9098952847697426e-12,L901,learning1,AW,Early,First,Type_A
16,16,1.6494729399706618e-12,4.376291264936024e-12,2.7750766378396473e-12,2.300464559065694e-12,1.7306503780134122e-12,2.539879512298738e-12,3.700376966015041e-12,L901,learning1,AW,Early,First,Type_A
17,17,1.4993596160955542e-12,4.592129684064919e-12,2.0011253203080006e-12,4.324434022462145e-12,5.6828681100893575e-12,4.191496200463805e-12,3.085362268241416e-12,L901,learning1,AW,Early,First,Type_A
18,18,1.9349507169976293e-12,1.7205663314319556e-12,2.5151596822378216e-12,4.3632145297674015e-12,6.455508283132368e-12,6.129757359601656e-12,3.681839838443681e-12,L901,learning1,AW,Early,First,Type_A
19,19,2.3096980357529637e-12,2.3241507107211145e-12,3.652577898859061e-12,4.282103843522677e-12,4.331015392447553e-12,3.3722186833299943e-12,1.865369882758538e-12,L901,learning1,AW,Early,First,Type_A
20,20,2.150527766385214e-12,1.8165338215968038e-12,3.0450813992925992e-12,3.1024504618311524e-12,2.257909495749449e-12,2.462180156564332e-12,2.2785788039352216e-12,L901,learning1,AW,Early,First,Type_A
21,21,2.1856789669823054e-12,1.6726994299555904e-12,2.2653547852521066e-12,4.485401664657662e-12,3.61706810774019e-12,2.6128587716759767e-12,2.1525007603910525e-12,L901,learning1,AW,Early,First,Type_A
22,22,3.2750256247339446e-12,1.4774446464293162e-12,1.7620823029556129e-12,1.7214103592859308e-12,1.1633434695370484e-12,2.9398255164786586e-12,2.283839374534293e-12,L901,learning1,AW,Early,First,Type_A
23,23,2.9120337911137245e-12,2.11290605865638e-12,2.545658159684309e-12,3.2830311181026274e-12,4.0003664392223906e-12,5.2320774895432405e-12,4.183598139056044e-12,L901,learning1,AW,Early,First,Type_A
24,24,1.6783592384826155e-12,1.97988820830963e-12,1.9686292008779624e-12,3.489588724371021e-12,3.0164289998453905e-12,2.2823012573795565e-12,1.5124129131529931e-12,L901,learning1,AW,Early,First,Type_A
25,25,1.5619507879988352e-12,1.4283812452028908e-12,1.87672291670596e-12,2.4918541663763934e-12,2.0334818009441004e-12,2.563145794138598e-12,1.6643753745825109e-12,L901,learning1,AW,Early,First,Type_A
26,26,3.81759975145263e-12,1.0058426886708657e-11,8.288989256025527e-12,8.724972338369964e-12,9.101651303622773e-12,4.596573064448439e-12,2.8705501834227462e-12,L901,learning1,AW,Early,First,Type_A
27,27,2.2567225683268957e-12,2.8170306176792554e-12,2.780633560611998e-12,2.970010461337066e-12,3.441904398770075e-12,2.4461513532727942e-12,2.5132592214940876e-12,L901,learning1,AW,Early,First,Type_A
0,0,1.926009842905304e-12,1.8275747239358394e-12,2.1836820824736655e-12,2.0136518007372944e-12,3.2564448954492014e-12,2.627249059436686e-12,1.4400509167458965e-12,L901,performance3,NW,Advanced,First,Type_B
1,1,2.091661818485725e-12,2.33362637915648e-12,1.996689915313454e-12,3.0632679400298577e-12,3.8472655530898e-12,4.247727473663348e-12,4.3614840802743294e-12,L901,performance3,NW,Advanced,First,Type_B
2,2,1.994366054975351e-12,2.6172270833497732e-12,4.013561238136419e-12,3.779429968953837e-12,4.0687395870978925e-12,3.3892543909637764e-12,2.5707643321861735e-12,L901,performance3,NW,Advanced,First,Type_B
3,3,2.031966619889285e-12,1.913847788927181e-12,2.6244545084926144e-12,2.5271471638343758e-12,2.118182396673302e-12,2.232902365224129e-12,2.806262333428877e-12,L901,performance3,NW,Advanced,First,Type_B
4,4,3.131652677969255e-12,3.5749669436253822e-12,2.8888308254928825e-12,1.3323484973534597e-12,2.000252350632489e-12,1.818834979202382e-12,2.1653180964548606e-12,L901,performance3,NW,Advanced,First,Type_B
5,5,2.550837218772737e-12,1.3694044145480702e-12,2.3914336909376275e-12,2.341028551124959e-12,2.6122517400442655e-12,4.586069273844979e-12,3.415463516711873e-12,L901,performance3,NW,Advanced,First,Type_B
6,6,2.4021736671799154e-12,1.6080253352094522e-12,1.8778463965918782e-12,3.7585469454634966e-12,2.7131963600157065e-12,2.1313595988326822e-12,2.3405884426962506e-12,L901,performance3,NW,Advanced,First,Type_B
7,7,1.662285240028045e-12,2.7177242734749604e-12,1.997963008705134e-12,1.7276769558044498e-12,1.0976729763911332e-12,2.3023162894404378e-12,2.3829954363367385e-12,L901,performance3,NW,Advanced,First,Type_B
8,8,1.5251397931834693e-12,1.4117539594926891e-12,1.7547871971969925e-12,3.010487596144128e-12,3.499706474127946e-12,4.092286416478445e-12,4.375714766831064e-12,L901,performance3,NW,Advanced,First,Type_B
9,9,1.848030994822991e-12,1.4714628337287738e-12,2.5373777579701798e-12,1.4109557741830683e-12,1.0941461511635173e-12,1.2350352528514612e-12,2.1041067738365028e-12,L901,performance3,NW,Advanced,First,Type_B
10,10,1.1599270256834382e-12,2.1437236879220416e-12,2.1162398115636168e-12,2.5577277393112313e-12,2.178425913679915e-12,3.5068564325366047e-12,2.2073952896287673e-12,L901,performance3,NW,Advanced,First,Type_B
11,11,3.1238148362044734e-12,2.880655284821762e-12,2.87896960465437e-12,3.323612627059921e-12,4.538490970696881e-12,4.55696359582956e-12,3.705053617852316e-12,L901,performance3,NW,Advanced,First,Type_B
12,12,2.656444959536557e-12,2.6920239464148538e-12,3.572601604558208e-12,2.561288364482318e-12,2.2198526220769275e-12,2.7202610019009387e-12,2.1568205719620306e-12,L901,performance3,NW,Advanced,First,Type_B
13,13,2.503401202285709e-12,1.4064175487534586e-12,2.3602052208875518e-12,1.9504917002448284e-12,1.5438754658217395e-12,2.640168430549597e-12,2.8278549325890553e-12,L901,performance3,NW,Advanced,First,Type_B
14,14,2.1600778012960157e-12,2.1243958889285613e-12,1.8814699817284285e-12,1.8975579052776618e-12,2.7407683748211013e-12,1.922101413864485e-12,1.62596664208789e-12,L901,performance3,NW,Advanced,First,Type_B
15,15,1.9407369542507846e-12,1.993647991632459e-12,1.5936743923392052e-12,1.8282473692149457e-12,1.2328227532938937e-12,1.4290644078117864e-12,1.8051628641028472e-12,L901,performance3,NW,Advanced,First,Type_B
16,16,2.2619149439909287e-12,2.3820496114529017e-12,4.255264381578312e-12,3.441870886126293e-12,3.522938745964604e-12,6.102233180654835e-12,6.056479698914821e-12,L901,performance3,NW,Advanced,First,Type_B
17,17,2.1528712478044617e-12,2.92133239765684e-12,2.631225709288415e-12,3.972055351612e-12,4.283583907629765e-12,4.5233582315372286e-12,5.865278195418237e-12,L901,performance3,NW,Advanced,First,Type_B
18,18,2.5735309794447387e-12,1.8064676119213273e-12,1.3859398317125543e-12,2.2744101609419604e-12,3.0208713103052925e-12,3.2762228018115546e-12,2.9759286166835235e-12,L901,performance3,NW,Advanced,First,Type_B
19,19,1.6482044962887087e-12,1.6749856881479278e-12,1.5336879305390683e-12,1.2350415054598913e-12,2.748870505551762e-12,3.4007084094193567e-12,2.1917331134972343e-12,L901,performance3,NW,Advanced,First,Type_B
20,20,1.8686699799778574e-12,2.3736775192229187e-12,4.088939337207353e-12,4.8652150781437885e-12,4.946175023004933e-12,5.159449131387084e-12,5.455462588556149e-12,L901,performance3,NW,Advanced,First,Type_B
21,21,2.4638240476860364e-12,4.361017712973851e-12,4.382770590568645e-12,4.4685197151268735e-12,3.94610476050145e-12,4.267667010595673e-12,4.1213914509890775e-12,L901,performance3,NW,Advanced,First,Type_B
22,22,2.181858089481082e-12,2.0968531396353644e-12,2.5950964211523682e-12,5.654722223337536e-12,6.349294375979415e-12,4.151232144821942e-12,4.726508176823196e-12,L901,performance3,NW,Advanced,First,Type_B
23,23,1.9603655397857572e-12,2.40548653680626e-12,2.8734626550680828e-12,1.5663122095195894e-12,2.202540727519591e-12,2.521421997898907e-12,1.9651451973564604e-12,L901,performance3,NW,Advanced,First,Type_B
24,24,1.9795617410815393e-12,3.6920724607825205e-12,2.1974746573078784e-12,1.9870200003068466e-12,1.955136687576311e-12,3.1869973597374738e-12,3.0915159649466094e-12,L901,performance3,NW,Advanced,First,Type_B
25,25,1.9491578086373437e-12,1.0428678958691699e-12,2.2094889022102996e-12,2.6713957050763243e-12,2.3599802803010184e-12,3.494598586668758e-12,4.83534480790063e-12,L901,performance3,NW,Advanced,First,Type_B
26,26,1.6723749930626276e-12,1.6475052337521862e-12,2.3486962300665646e-12,2.6486686711365684e-12,2.9719158289986134e-12,2.8252007808212316e-12,2.4882948227877305e-12,L901,performance3,NW,Advanced,First,Type_B
27,27,2.427419215840481e-12,2.397387674600188e-12,1.9524238799596684e-12,1.7551788815029641e-12,2.2163777193993804e-12,2.2746471594901444e-12,1.9526988972357443e-12,L901,performance3,NW,Advanced,First,Type_B
0,0,2.3496055348908837e-12,2.757993251153126e-12,3.4902553798223025e-12,1.6738734269054103e-12,1.9955418320299746e-12,1.56963090829139e-12,1.4607673182399916e-12,L901,performance3,AW,Advanced,First,Type_A
1,1,2.7923688689646947e-12,2.1179493983214303e-12,2.55511183886339e-12,2.8553336684684407e-12,5.3663675368329876e-12,5.673821476373245e-12,5.892769625398645e-12,L901,performance3,AW,Advanced,First,Type_A
2,2,2.3953610952288847e-12,2.6957913513820065e-12,2.5790863438500785e-12,2.3601061588014815e-12,2.267758103118864e-12,1.9267610952982323e-12,2.8250855779585503e-12,L901,performance3,AW,Advanced,First,Type_A
3,3,1.4643192836198748e-12,1.188498789910706e-12,2.1822797374631785e-12,4.614067370031554e-12,3.887574832387228e-12,4.581131396473492e-12,3.66218728293694e-12,L901,performance3,AW,Advanced,First,Type_A
4,4,1.2504571421156653e-12,2.132355115078498e-12,2.4036083541206563e-12,3.298035262522305e-12,2.870431090069687e-12,3.071968365845635e-12,3.82810762637321e-12,L901,performance3,AW,Advanced,First,Type_A
5,5,2.125499354652701e-12,2.6857930163428773e-12,2.204534699975252e-12,2.561952368383761e-12,1.6214045532912213e-12,1.465276186477354e-12,1.0850748264401567e-12,L901,performance3,AW,Advanced,First,Type_A
6,6,1.8687041016252643e-12,1.7103824508978848e-12,2.5576820574492477e-12,3.3155737009040748e-12,4.067319173558468e-12,4.651919968246434e-12,2.5289892036473007e-12,L901,performance3,AW,Advanced,First,Type_A
7,7,2.372796120797681e-12,2.9532395001002724e-12,3.1641075394388816e-12,2.918140154940741e-12,4.167776618734797e-12,3.672502363823888e-12,3.3651829338404804e-12,L901,performance3,AW,Advanced,First,Type_A
8,8,1.879513080575541e-12,2.0649780038736157e-12,2.2294888189834062e-12,3.2212516032428795e-12,3.4702965532525633e-12,3.707225925448098e-12,2.1393824269022564e-12,L901,performance3,AW,Advanced,First,Type_A
9,9,2.136841688588629e-12,2.375619315942329e-12,1.9606360472950158e-12,1.4141940336937633e-12,1.788118737023023e-12,2.0847523579732595e-12,1.5271073557763295e-12,L901,performance3,AW,Advanced,First,Type_A
10,10,2.465177780368019e-12,5.3723592672602915e-12,3.5816051947819554e-12,2.6419680002096616e-12,1.6004598355240452e-12,1.955128478626112e-12,2.5342161693410626e-12,L901,performance3,AW,Advanced,First,Type_A
11,11,1.4482045511185774e-12,2.4914277366885596e-12,2.4433050804377896e-12,1.8844362755712816e-12,3.477383885077755e-12,3.741906279214868e-12,1.8830928755991157e-12,L901,performance3,AW,Advanced,First,Type_A
12,12,2.4689695708714736e-12,2.8638138264727946e-12,2.6155784364951153e-12,4.343450030788477e-12,5.9466670649050455e-12,5.406234732994853e-12,3.438450895437123e-12,L901,performance3,AW,Advanced,First,Type_A
13,13,2.045668740531522e-12,2.6587055426148167e-12,3.585876345373918e-12,4.518947966065013e-12,4.229188258965625e-12,4.209929509780032e-12,3.1840301808817144e-12,L901,performance3,AW,Advanced,First,Type_A
14,14,2.625257154724714e-12,2.0760086475446507e-12,1.203489529563611e-12,1.5892362837523406e-12,1.0600236681702745e-12,1.5902552676679191e-12,2.579921234323757e-12,L901,performance3,AW,Advanced,First,Type_A
15,15,2.4024812217636033e-12,2.675463521336397e-12,2.8175338027571285e-12,2.414397478816219e-12,1.9752766824516684e-12,1.6397618418207645e-12,2.1624951390387124e-12,L901,performance3,AW,Advanced,First,Type_A
16,16,1.6221312629301293e-12,1.5940194832160231e-12,1.4654538062029678e-12,1.4346975698135581e-12,1.8896931735412363e-12,1.3903192969524234e-12,3.4313220346817326e-12,L901,performance3,AW,Advanced,First,Type_A
17,17,1.973720696409537e-12,1.3629100937033404e-12,2.538308396141087e-12,2.488750064433187e-12,2.0670556236167975e-12,1.8943644243963304e-12,1.8669139717152125e-12,L901,performance3,AW,Advanced,First,Type_A
18,18,1.2697299142784248e-12,1.6318014743220546e-12,1.207720659294346e-12,1.7541279676358695e-12,3.3685720238950527e-12,2.9466213867669397e-12,3.435093954261372e-12,L901,performance3,AW,Advanced,First,Type_A
19,19,1.1971487601056582e-12,1.6594599485502644e-12,1.7904036279130631e-12,1.5125936058077837e-12,1.9794648170498105e-12,2.6798703808850926e-12,2.6544198271061155e-12,L901,performance3,AW,Advanced,First,Type_A
20,20,2.0757572527089915e-12,1.7426954259586668e-12,1.2143959700271748e-12,2.1575857054509504e-12,2.3877287384975278e-12,1.244523494197678e-12,1.0324232408841736e-12,L901,performance3,AW,Advanced,First,Type_A
21,21,2.5865500868215856e-12,4.519652794530273e-12,4.739508719474643e-12,2.1068410031847283e-12,1.2016725386590149e-12,3.291674441009446e-12,1.6628080682833103e-12,L901,performance3,AW,Advanced,First,Type_A
22,22,2.2205864426617673e-12,1.3950437400681198e-12,2.537230852805491e-12,4.2741327140848304e-12,4.510254886282777e-12,3.621606460126316e-12,2.5677099514542632e-12,L901,performance3,AW,Advanced,First,Type_A
23,23,3.325173039329543e-12,2.9999904359658743e-12,3.802232866486788e-12,5.3812220524345924e-12,2.9166297530719155e-12,5.03168891012476e-12,4.802929372341045e-12,L901,performance3,AW,Advanced,First,Type_A
24,24,1.7310103326878068e-12,1.4369075652749811e-12,1.0288829233285548e-12,1.0775311727730723e-12,1.7906248598187038e-12,2.6533085075223693e-12,2.3067608901571298e-12,L901,performance3,AW,Advanced,First,Type_A
25,25,2.2417357092792023e-12,2.7063628813307487e-12,2.326751316688356e-12,2.373572858209107e-12,2.173897296048104e-12,2.30590726865471e-12,2.9770797095148343e-12,L901,performance3,AW,Advanced,First,Type_A
26,26,1.7988545169163352e-12,1.5566740875259041e-12,1.9642034335305335e-12,2.6032852265504406e-12,4.840373852068111e-12,3.2909593025120966e-12,3.1434481865822573e-12,L901,performance3,AW,Advanced,First,Type_A
27,27,1.3641987602984748e-12,1.4738727091418836e-12,1.1274940553937649e-12,1.8205832181138803e-12,1.887917329631243e-12,1.6635953085844344e-12,2.4172451415827943e-12,L901,performance3,AW,Advanced,First,Type_A
0,0,2.5261250006756525e-12,2.9058042434140756e-12,2.4668188623587435e-12,2.1044029490459646e-12,2.6128403655008523e-12,2.1545883612423412e-12,1.9146681129335053e-12,L901,learning4,NW,Early,Last,Type_A
1,1,2.533113132361677e-12,3.059334665889529e-12,3.845960582758219e-12,3.662336926485848e-12,2.420478062717347e-12,3.1215754077645444e-12,3.4593985593707846e-12,L901,learning4,NW,Early,Last,Type_A
2,2,3.152217043317134e-12,2.585965361934364e-12,2.3944585332492855e-12,3.259222918011633e-12,5.6781884114895164e-12,3.942858669615051e-12,4.823698915700791e-12,L901,learning4,NW,Early,Last,Type_A
3,3,2.8137167168946413e-12,2.969774110557855e-12,4.875447436878258e-12,2.448072036735882e-12,2.8339876037445262e-12,2.4795015051179475e-12,1.6419214353513719e-12,L901,learning4,NW,Early,Last,Type_A
4,4,2.793633093038464e-12,2.0755616028321354e-12,1.5250293127155416e-12,1.8271385172394587e-12,4.391956564004032e-12,2.2891586347080396e-12,2.4327702101038186e-12,L901,learning4,NW,Early,Last,Type_A
5,5,1.9729731069543897e-12,3.0789622549612202e-12,2.4950031337833466e-12,3.3357625517481495e-12,4.353844396116801e-12,2.4026546536686194e-12,2.748665032923249e-12,L901,learning4,NW,Early,Last,Type_A
6,6,1.64215834086272e-12,1.4865310921583415e-12,2.2899950403253643e-12,2.2192021387052766e-12,2.1519964518933818e-12,2.5347975084627437e-12,2.7124797583202794e-12,L901,learning4,NW,Early,Last,Type_A
7,7,3.1902984367509772e-12,3.986003443429986e-12,5.495265245064602e-12,4.039814963417968e-12,5.604533948514001e-12,1.0009031499716045e-11,1.0033915950705918e-11,L901,learning4,NW,Early,Last,Type_A
8,8,3.185156466215904e-12,1.8741044236316114e-12,4.300596452967817e-12,6.7422427827505165e-12,5.906077130686909e-12,7.2056604805805975e-12,4.804187373025765e-12,L901,learning4,NW,Early,Last,Type_A
9,9,2.3104800376925437e-12,3.22970053886024e-12,2.1625375510435497e-12,2.505492521509225e-12,1.7840276797735629e-12,2.794771455329326e-12,3.800106984078546e-12,L901,learning4,NW,Early,Last,Type_A
10,10,1.4178693393644608e-12,3.1294823852024605e-12,2.8442051176764398e-12,2.6041219750472712e-12,2.7250556452831532e-12,2.0469795783862532e-12,2.7184782164738154e-12,L901,learning4,NW,Early,Last,Type_A
11,11,1.3573640914204039e-12,2.015314933039728e-12,1.6513495746589855e-12,2.2324109109283697e-12,2.722112718320158e-12,2.7120742227676344e-12,3.4115404758482435e-12,L901,learning4,NW,Early,Last,Type_A
12,12,2.4750755819338187e-12,4.7924923666799885e-12,4.3926037747565054e-12,7.650857366779425e-12,7.909776519367525e-12,8.710772665642651e-12,8.996229062416959e-12,L901,learning4,NW,Early,Last,Type_A
13,13,2.2721242317220613e-12,3.120711860782291e-12,2.0097677958043e-12,1.3876393499464002e-12,1.5490252900225931e-12,2.7364462477958577e-12,2.4239719901680664e-12,L901,learning4,NW,Early,Last,Type_A
14,14,2.54122022001745e-12,2.674200395678778e-12,2.9501980813379412e-12,5.189056836171758e-12,5.0153376334051625e-12,5.771745674251891e-12,2.5851475952780815e-12,L901,learning4,NW,Early,Last,Type_A
15,15,7.236207779882298e-12,4.997410383229747e-12,3.9349504687427335e-12,3.334891807591296e-12,1.976080909583136e-12,3.789834160522696e-12,3.956827733486578e-12,L901,learning4,NW,Early,Last,Type_A
16,16,3.0206081261518487e-12,2.3334436990022723e-12,4.060143170262763e-12,7.031519444145885e-12,6.787955188727255e-12,4.185667965219736e-12,3.43189418641582e-12,L901,learning4,NW,Early,Last,Type_A
17,17,1.5800153934953363e-12,1.1156969320101705e-12,2.214007762603893e-12,1.559490003991803e-12,1.713881921987266e-12,2.4911636384481967e-12,2.4979697005342528e-12,L901,learning4,NW,Early,Last,Type_A
18,18,2.710080734878829e-12,2.2852264661554516e-12,3.212731530497439e-12,4.650705713482194e-12,3.75488116075622e-12,4.743965397923317e-12,4.4444617971891975e-12,L901,learning4,NW,Early,Last,Type_A
